week_start,revenue,orders,new_customers,refunds,notes
2026-06-29,44772.13,572,184,567.64,
2026-07-06,45698.3,556,206,504.66,
2026-07-13,44964.67,575,182,722.32,
2026-07-20,43869.51,553,194,725.57,
2026-07-27,45182.37,554,202,455.35,
2026-08-03,48156.91,585,191,571.42,
2026-08-10,66121.98,806,306,550.72,Summer sale: 20% off subscriptions ran Mon-Thu
2026-08-17,49426.15,605,220,927.08,
2026-08-24,39384.11,480,133,808.32,
2026-08-31,50441.08,617,227,853.88,
2026-09-07,51847.25,631,204,679.48,
2026-09-14,57876.1,683,244,642.42,
